Species	Status	min_age	max_age
Lynx_rufus	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Lynx_canadensis	extinct	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Panthera_leo_atrox	extant	0.0117	0.126
Puma_concolor	extant	0.0117	0.126
Homotherium_serum	extinct	0.0117	0.126
Smilodon_fatalis	extant	0.0117	0.126
Panthera_onca	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Panthera_leo_atrox	extant	0.0117	0.126
Panthera_onca	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Smilodon_fatalis	extant	0.0117	0.126
Panthera_onca	extant	0.0117	0.126
Leopardus	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Panthera_onca	extant	0.0117	0.126
Smilodon_fatalis	extant	0.0117	0.126
Smilodon	extinct	0.0117	0.126
Smilodon_fatalis	extant	0.0117	0.126
Panthera_leo_atrox	extant	0.0117	0.126
Lynx_canadensis	extinct	0.0117	0.126
Miracinonyx_studeri	extinct	0.0117	0.126
Lynx_lynx	extant	0.0117	0.126
Felinae	extinct	0.0117	0.126
Puma_concolor	extant	0.0117	0.126
Leopardus_wiedii	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Smilodon_fatalis	extant	0.0117	0.126
Smilodon_fatalis	extant	0.0117	0.126
Panthera_leo_atrox	extant	0.0117	0.126
Puma_concolor	extant	0.0117	0.126
Smilodon_fatalis	extant	0.0117	0.126
Lynx_canadensis	extinct	0.0117	0.126
Panthera_onca	extant	0.0117	0.126
Lynx_rufus	extant	0.0117	0.126
Pseudaelurus	extinct	5.333	11.608
Viverridae	extant	2.588	7.246
Felidae	extant	2.588	7.246
Felidae	extant	2.588	7.246
Hyaenidae	extinct	2.588	7.246
Machairodontinae	extinct	3.6	5.333
Hyaena	extant	3.6	5.333
Homotherium	extinct	0.781	5.333
Crocuta_crocuta	extant	0.781	5.333
Homotherium	extinct	0.781	5.333
Megantereon	extant	0.781	5.333
Pseudocivetta	extinct	0.0117	5.333
Crocuta_crocuta	extant	0.0117	2.588
Megantereon_eurynodon	extinct	0.0117	2.588
Leopardus_pardalis	extant	0	0.0117
Puma_yagouaroundi	extant	0	0.0117
Puma_concolor	extant	0	0.0117
Panthera_onca	extant	0	0.0117
Leopardus_pardalis	extant	0	0.0117
Puma_yagouaroundi	extant	0	0.0117
Puma_concolor	extant	0	0.0117
Panthera_onca	extant	0	0.0117
Crocuta_crocuta	extant	0	0.0117
Panthera_leo	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Felis_libyca	extant	0	0.0117
Hyaena_hyaena	extant	0	0.0117
Caracal_caracal	extant	0	0.0117
Ichneumia_albicauda	extant	0	0.0117
